question,expected_file,expected_keywords
双11活动什么时候开始,double11_rules.txt,2026年11月1日;双11活动
双11活动什么时候结束,double11_rules.txt,2026年11月11日;23:59
双11满减规则是什么,double11_rules.txt,满300减50;满600减120
双11每个用户最多能领几张优惠券,double11_rules.txt,最多可领取3张优惠券
双11优惠券过期后还能用吗,double11_rules.txt,过期自动失效
双11秒杀商品可以修改地址吗,double11_rules.txt,秒杀商品;不可修改收货地址
双11期间多久发货,double11_rules.txt,48~72小时;发货时间
双11已付款订单可以随便取消吗,double11_rules.txt,不可随意取消;联系客服
双11未发货订单退款多久到账,double11_rules.txt,1-3个工作日;原路返回
双11已发货订单怎么退款,double11_rules.txt,先收货;退货退款
双11活动商品支持7天无理由吗,double11_rules.txt,7天无理由退货
双11物流多久更新,double11_rules.txt,发货后24小时内更新
优惠券通常有什么限制,coupon_rules.txt,使用门槛;适用商品范围;有效期
满减券什么时候可以用,coupon_rules.txt,实付金额满足门槛
店铺券和平台券能叠加吗,coupon_rules.txt,活动页面说明
过期优惠券可以恢复吗,coupon_rules.txt,无法恢复;不可补发
退款后优惠券会返还吗,coupon_rules.txt,是否返还;具体活动规则
哪些商品不能用优惠券,coupon_rules.txt,部分活动商品;不参与优惠券
新用户专享券怎么使用,coupon_rules.txt,首次符合条件的下单
为什么优惠券无法使用,coupon_rules.txt,有效期;商品适用范围;订单金额
大促规则会临时调整吗,coupon_rules.txt,临时调整;平台页面实时展示
物流单号什么时候更新,logistics_rules.txt,物流单号;同步更新
已发货但没有物流轨迹怎么办,logistics_rules.txt,首站扫描
物流信息多久更新,logistics_rules.txt,24小时内逐步更新
什么情况会导致物流延迟,logistics_rules.txt,偏远地区;恶劣天气;节假日
物流长期停留怎么办,logistics_rules.txt,联系客服;催件
物流显示签收但没收到怎么办,logistics_rules.txt,代收点;前台;家人代签
包裹运输中破损怎么办,logistics_rules.txt,破损;售后处理
跨境订单物流会更久吗,logistics_rules.txt,跨境运输;物流周期更长
发货后还能修改地址吗,logistics_rules.txt,发货后修改地址;无法保证成功
系统提示物流异常怎么办,logistics_rules.txt,物流投诉;人工客服介入
7天无理由退货要求是什么,return_rules.txt,签收商品后7天内;商品完好
哪些商品不支持无理由退货,return_rules.txt,定制类商品;生鲜商品;贴身用品
退货商品包装有什么要求,return_rules.txt,原包装;配件;赠品齐全
质量问题退货运费谁承担,return_rules.txt,质量问题;商家承担
个人原因退货运费谁承担,return_rules.txt,个人原因;用户承担
退货申请通过后不寄回会怎样,return_rules.txt,规定时间内寄回;自动关闭
什么情况下平台会拒绝退货,return_rules.txt,使用痕迹;破损;配件缺失
